Date,Time,Record,Temperature,Conductivity,pH,Turbidity,Dissolved Oxygen,,,,
1/02/13,11:00:00 AM,1,23.97,342,7.13,2.7,82.7,,,,
1/02/13,11:10:00 AM,0,23.99,342,7.13,2.8,83.3,,,,
1/02/13,11:20:00 AM,1,24,342,7.13,2.8,83.2,,,,
1/02/13,11:30:00 AM,2,24.02,343,7.14,2.8,83.3,,,,
1/02/13,11:40:00 AM,3,24.04,343,7.14,2.7,82.9,,,,
1/02/13,11:50:00 AM,4,24.06,343,7.14,2.6,82.6,,,,
1/02/13,12:00:00 PM,5,24.1,344,7.14,2.9,83.2,,,,
1/02/13,12:10:00 PM,6,24.16,344,7.14,2.9,83,,,,
1/02/13,12:20:00 PM,7,24.21,345,7.14,2.6,82.5,,,,
1/02/13,12:30:00 PM,8,24.25,345,7.15,2.8,83.4,,,,
1/02/13,12:40:00 PM,9,24.32,345,7.15,2.8,83.2,,,,
1/02/13,12:50:00 PM,10,24.35,345,7.15,2.6,83.5,,,,
1/02/13,1:00:00 PM,11,24.44,345,7.16,2.7,82.4,,,,
1/02/13,1:10:00 PM,12,24.49,346,7.15,2.7,84,,,,
1/02/13,1:20:00 PM,13,24.52,346,7.15,2.7,83.6,,,,
1/02/13,1:30:00 PM,14,24.58,346,7.15,2.6,83.9,,,,
1/02/13,1:40:00 PM,15,24.62,347,7.16,2.6,84,,,,
1/02/13,1:50:00 PM,16,24.67,347,7.15,2.6,83.6,,,,
1/02/13,2:00:00 PM,17,24.69,347,7.15,2.7,83.6,,,,
1/02/13,2:10:00 PM,18,24.71,348,7.16,2.6,84,,,,
1/02/13,2:20:00 PM,19,24.75,348,7.15,2.7,83.5,,,,
1/02/13,2:30:00 PM,20,24.78,348,7.15,2.8,83.6,,,,
1/02/13,2:40:00 PM,21,24.78,349,7.16,2.6,83.7,,,,
1/02/13,2:50:00 PM,22,24.79,349,7.15,2.6,83.6,,,,
1/02/13,3:00:00 PM,23,24.81,349,7.15,2.4,83.2,,,,
1/02/13,3:10:00 PM,24,24.82,350,7.15,2.5,83.4,,,,
1/02/13,3:20:00 PM,25,24.84,350,7.15,2.4,83.6,,,,
1/02/13,3:30:00 PM,26,24.85,350,7.15,2.4,83,,,,
1/02/13,3:40:00 PM,27,24.87,350,7.15,2.6,83,,,,
1/02/13,3:50:00 PM,28,24.88,351,7.15,2.6,82.9,,,,
1/02/13,4:00:00 PM,29,24.89,352,7.15,2.5,83.1,,,,
1/02/13,4:10:00 PM,30,24.89,352,7.15,2.4,82.5,,,,
1/02/13,4:20:00 PM,31,24.9,352,7.15,2.5,82.8,,,,
1/02/13,4:30:00 PM,32,24.89,353,7.15,2.4,82.6,,,,
1/02/13,4:40:00 PM,33,24.87,353,7.15,2.6,82.9,,,,
1/02/13,4:50:00 PM,34,24.87,353,7.15,2.4,82.3,,,,
1/02/13,5:00:00 PM,35,24.84,354,7.15,2.4,82.6,,,,
1/02/13,5:10:00 PM,36,24.82,354,7.15,2.5,82.1,,,,
1/02/13,5:20:00 PM,37,24.79,355,7.15,2.4,81.6,,,,
1/02/13,5:30:00 PM,38,24.78,355,7.14,2.4,81.7,,,,
1/02/13,5:40:00 PM,39,24.76,355,7.15,2.5,81.6,,,,
1/02/13,5:50:00 PM,40,24.73,355,7.14,2.5,81.6,,,,
1/02/13,6:00:00 PM,41,24.72,356,7.14,2.6,81.5,,,,
1/02/13,6:10:00 PM,42,24.71,355,7.14,2.3,81.7,,,,
1/02/13,6:20:00 PM,43,24.68,356,7.14,2.4,81.2,,,,
1/02/13,6:30:00 PM,44,24.65,356,7.15,2.5,81.4,,,,
1/02/13,6:40:00 PM,45,24.64,356,7.14,2.4,81.1,,,,
1/02/13,6:50:00 PM,46,24.61,357,7.14,2.4,81.5,,,,
1/02/13,7:00:00 PM,47,24.6,357,7.15,2.4,81.4,,,,
1/02/13,7:10:00 PM,48,24.59,357,7.14,2.4,81.2,,,,
1/02/13,7:20:00 PM,49,24.56,357,7.14,2.4,81.2,,,,
1/02/13,7:30:00 PM,50,24.55,358,7.14,2.3,80.6,,,,
1/02/13,7:40:00 PM,51,24.53,358,7.14,3.2,80.9,,,,
1/02/13,7:50:00 PM,52,24.51,358,7.14,3,81,,,,
1/02/13,8:00:00 PM,53,24.49,358,7.15,2.3,81.2,,,,
1/02/13,8:10:00 PM,54,24.48,358,7.14,2.4,80.6,,,,
1/02/13,8:20:00 PM,55,24.46,359,7.15,2.4,81.1,,,,
1/02/13,8:30:00 PM,56,24.45,359,7.15,2.3,80.8,,,,
1/02/13,8:40:00 PM,57,24.43,359,7.15,2.4,81,,,,
1/02/13,8:50:00 PM,58,24.42,360,7.15,2.4,80.6,,,,
1/02/13,9:00:00 PM,59,24.41,360,7.15,2.3,79.3,,,,
1/02/13,9:10:00 PM,60,24.39,360,7.15,2.4,80.2,,,,
1/02/13,9:20:00 PM,61,24.38,360,7.15,2.3,80.8,,,,
1/02/13,9:30:00 PM,62,24.37,361,7.14,2.2,80.4,,,,
1/02/13,9:40:00 PM,63,24.35,361,7.15,2.4,80,,,,
1/02/13,9:50:00 PM,64,24.33,361,7.15,2.3,80.3,,,,
1/02/13,10:00:00 PM,65,24.33,361,7.14,2.1,80,,,,
1/02/13,10:10:00 PM,66,24.32,362,7.14,3,80.6,,,,
1/02/13,10:20:00 PM,67,24.3,362,7.15,2.3,79.8,,,,
1/02/13,10:30:00 PM,68,24.27,362,7.15,2.3,80.2,,,,
1/02/13,10:40:00 PM,69,24.25,362,7.15,2.2,80.1,,,,
1/02/13,10:50:00 PM,70,24.23,363,7.15,2.3,80.4,,,,
1/02/13,11:00:00 PM,71,24.19,363,7.15,2.2,80.4,,,,
1/02/13,11:10:00 PM,72,24.18,363,7.15,2.2,80.3,,,,
1/02/13,11:20:00 PM,73,24.17,363,7.14,2.3,80,,,,
1/02/13,11:30:00 PM,74,24.12,363,7.15,2.3,79.9,,,,
1/02/13,11:40:00 PM,75,24.12,364,7.15,2.3,79.7,,,,
1/02/13,11:50:00 PM,76,24.09,364,7.15,2.2,80.4,,,,
2/02/13,12:00:00 AM,77,24.06,363,7.15,2.2,80.4,,,,
2/02/13,12:10:00 AM,78,24.06,364,7.15,2.3,79.6,,,,
2/02/13,12:20:00 AM,79,24.02,364,7.15,2.3,80.4,,,,
2/02/13,12:30:00 AM,80,24.01,364,7.15,2.2,79.8,,,,
2/02/13,12:40:00 AM,81,23.99,364,7.15,2.3,79.9,,,,
2/02/13,12:50:00 AM,82,23.97,364,7.15,2.1,79.1,,,,
2/02/13,1:00:00 AM,83,23.95,364,7.16,2.4,80.6,,,,
2/02/13,1:10:00 AM,84,23.93,364,7.16,2.4,80.4,,,,
2/02/13,1:20:00 AM,85,23.91,364,7.16,2.3,80.5,,,,
2/02/13,1:30:00 AM,86,23.91,364,7.15,2.3,79.8,,,,
2/02/13,1:40:00 AM,87,23.89,365,7.15,2.4,80,,,,
2/02/13,1:50:00 AM,88,23.86,365,7.16,2.2,80.1,,,,
2/02/13,2:00:00 AM,89,23.86,365,7.16,2.2,80.4,,,,
2/02/13,2:10:00 AM,90,23.85,365,7.15,2.6,79.7,,,,
2/02/13,2:20:00 AM,91,23.82,365,7.16,2.2,80.3,,,,
2/02/13,2:30:00 AM,92,23.81,364,7.15,2.3,80.2,,,,
2/02/13,2:40:00 AM,93,23.8,365,7.15,2.2,80,,,,
2/02/13,2:50:00 AM,94,23.78,365,7.16,2.3,78.3,,,,
2/02/13,3:00:00 AM,95,23.77,365,7.16,2.3,79.6,,,,
2/02/13,3:10:00 AM,96,23.76,365,7.16,2.4,80.2,,,,
2/02/13,3:20:00 AM,97,23.74,365,7.16,2.2,80.3,,,,
2/02/13,3:30:00 AM,98,23.73,365,7.16,2.3,80.1,,,,
2/02/13,3:40:00 AM,99,23.73,365,7.15,2.4,77.5,,,,
2/02/13,3:50:00 AM,100,23.72,365,7.16,3.8,79.9,,,,
2/02/13,4:00:00 AM,101,23.7,365,7.16,2.9,80.3,,,,
2/02/13,4:10:00 AM,102,23.69,365,7.16,2.3,80,,,,
2/02/13,4:20:00 AM,103,23.68,365,7.16,2.3,80,,,,
2/02/13,4:30:00 AM,104,23.67,365,7.16,2.3,80.1,,,,
2/02/13,4:40:00 AM,105,23.67,365,7.16,2.4,80.1,,,,
2/02/13,4:50:00 AM,106,23.65,364,7.16,2.3,80,,,,
2/02/13,5:00:00 AM,107,23.65,364,7.17,2.5,78.8,,,,
2/02/13,5:10:00 AM,108,23.63,364,7.16,2.3,79.9,,,,
2/02/13,5:20:00 AM,109,23.62,364,7.16,2.4,79.6,,,,
2/02/13,5:30:00 AM,110,23.61,363,7.16,2.3,79.7,,,,
2/02/13,5:40:00 AM,111,23.6,363,7.16,2.2,79.5,,,,
2/02/13,5:50:00 AM,112,23.58,363,7.16,2.3,80.1,,,,
2/02/13,6:00:00 AM,113,23.56,362,7.16,2.4,79.7,,,,
2/02/13,6:10:00 AM,114,23.56,362,7.16,2.3,79.1,,,,
2/02/13,6:20:00 AM,115,23.55,362,7.15,2.5,78.5,,,,
2/02/13,6:30:00 AM,116,23.52,362,7.16,2.2,80.2,,,,
2/02/13,6:40:00 AM,117,23.51,362,7.16,2.2,80.2,,,,
2/02/13,6:50:00 AM,118,23.49,362,7.16,2.4,79.5,,,,
2/02/13,7:00:00 AM,119,23.48,362,7.16,2.2,80.1,,,,
2/02/13,7:10:00 AM,120,23.46,362,7.16,2.2,80.3,,,,
2/02/13,7:20:00 AM,121,23.44,362,7.16,2.9,80.2,,,,
2/02/13,7:30:00 AM,122,23.44,362,7.16,3,80.4,,,,
2/02/13,7:40:00 AM,123,23.42,362,7.16,2.3,80,,,,
2/02/13,7:50:00 AM,124,23.41,362,7.17,2.1,80.4,,,,
2/02/13,8:00:00 AM,125,23.41,362,7.17,2.2,80.5,,,,
2/02/13,8:10:00 AM,126,23.4,362,7.17,2.2,80.5,,,,
2/02/13,8:20:00 AM,127,23.4,362,7.17,2.1,80.6,,,,
2/02/13,8:30:00 AM,128,23.39,362,7.17,2.3,81.1,,,,
2/02/13,8:40:00 AM,129,23.4,362,7.18,2.2,80.9,,,,
2/02/13,8:50:00 AM,130,23.4,362,7.18,2.2,80.8,,,,
2/02/13,9:00:00 AM,131,23.41,362,7.18,2.1,81.2,,,,
2/02/13,9:10:00 AM,132,23.41,362,7.18,2.2,80.5,,,,
2/02/13,9:20:00 AM,133,23.44,362,7.18,2,81,,,,
2/02/13,9:30:00 AM,134,23.47,363,7.18,2.3,81.2,,,,
2/02/13,9:40:00 AM,135,23.5,362,7.19,2,81.8,,,,
2/02/13,9:50:00 AM,136,23.54,362,7.19,2.1,80.8,,,,
2/02/13,10:00:00 AM,137,23.55,361,7.19,2,80.7,,,,
2/02/13,10:10:00 AM,138,23.6,362,7.19,2.1,82,,,,
2/02/13,10:20:00 AM,139,23.65,362,7.19,1.8,81.8,,,,
2/02/13,10:30:00 AM,140,23.69,362,7.19,2,82.1,,,,
2/02/13,10:40:00 AM,141,23.76,361,7.19,1.8,82.6,,,,
2/02/13,10:50:00 AM,142,23.81,362,7.2,1.9,81.9,,,,
2/02/13,11:00:00 AM,143,23.84,362,7.2,1.8,82.7,,,,
2/02/13,11:10:00 AM,144,23.93,362,7.2,1.9,82.7,,,,
2/02/13,11:20:00 AM,145,24,363,7.19,1.9,81.9,,,,
2/02/13,11:30:00 AM,146,24.04,362,7.2,2,82.6,,,,
2/02/13,11:40:00 AM,147,24.11,363,7.2,1.8,82,,,,
2/02/13,11:50:00 AM,148,24.19,363,7.2,1.8,82.9,,,,
2/02/13,12:00:00 PM,149,24.23,363,7.21,1.7,83.2,,,,
2/02/13,12:10:00 PM,150,24.29,363,7.21,1.8,83.5,,,,
2/02/13,12:20:00 PM,151,24.34,363,7.21,1.7,83.2,,,,
2/02/13,12:30:00 PM,152,24.4,363,7.21,1.7,82.4,,,,
2/02/13,12:40:00 PM,153,24.46,363,7.22,1.8,83.2,,,,
2/02/13,12:50:00 PM,154,24.53,364,7.22,1.8,83.7,,,,
2/02/13,1:00:00 PM,155,24.57,364,7.22,1.7,82.6,,,,
2/02/13,1:10:00 PM,156,24.6,364,7.22,1.7,84,,,,
2/02/13,1:20:00 PM,157,24.65,365,7.22,1.8,84.4,,,,
2/02/13,1:30:00 PM,158,24.68,364,7.22,1.6,84.2,,,,
2/02/13,1:40:00 PM,159,24.73,365,7.22,1.7,84,,,,
2/02/13,1:50:00 PM,160,24.73,364,7.22,1.6,84.3,,,,
2/02/13,2:00:00 PM,161,24.74,365,7.22,1.7,84.2,,,,
2/02/13,2:10:00 PM,162,24.74,365,7.22,1.7,84.2,,,,
2/02/13,2:20:00 PM,163,24.77,365,7.22,1.6,84.4,,,,
2/02/13,2:30:00 PM,164,24.77,365,7.22,1.6,84.1,,,,
2/02/13,2:40:00 PM,165,24.77,366,7.22,1.8,83.7,,,,
2/02/13,2:50:00 PM,166,24.76,366,7.22,1.8,83.7,,,,
2/02/13,3:00:00 PM,167,24.78,365,7.21,1.8,83.2,,,,
2/02/13,3:10:00 PM,168,24.73,366,7.22,1.7,83.6,,,,
2/02/13,3:20:00 PM,169,24.71,366,7.21,1.6,83.2,,,,
2/02/13,3:30:00 PM,170,24.7,366,7.21,2.2,83.4,,,,
2/02/13,3:40:00 PM,171,24.7,366,7.21,1.6,83.3,,,,
2/02/13,3:50:00 PM,172,24.68,366,7.21,1.5,83,,,,
2/02/13,4:00:00 PM,173,24.65,367,7.2,1.5,82.6,,,,
2/02/13,4:10:00 PM,174,24.64,367,7.21,1.6,83.1,,,,
2/02/13,4:20:00 PM,175,24.63,367,7.21,1.6,82.7,,,,
2/02/13,4:30:00 PM,176,24.58,367,7.21,1.5,82.8,,,,
2/02/13,4:40:00 PM,177,24.57,367,7.2,1.5,82.3,,,,
2/02/13,4:50:00 PM,178,24.53,367,7.21,1.7,82,,,,
2/02/13,5:00:00 PM,179,24.48,367,7.21,1.6,82.5,,,,
2/02/13,5:10:00 PM,180,24.46,367,7.21,1.5,82.2,,,,
2/02/13,5:20:00 PM,181,24.45,367,7.21,1.5,81.8,,,,
2/02/13,5:30:00 PM,182,24.39,368,7.2,1.5,81.9,,,,
2/02/13,5:40:00 PM,183,24.35,368,7.2,1.5,81.4,,,,
2/02/13,5:50:00 PM,184,24.33,368,7.2,1.5,80.7,,,,
2/02/13,6:00:00 PM,185,24.25,368,7.2,1.7,81.5,,,,
2/02/13,6:10:00 PM,186,24.21,368,7.2,1.6,81.2,,,,
2/02/13,6:20:00 PM,187,24.17,369,7.2,1.5,81.2,,,,
2/02/13,6:30:00 PM,188,24.14,369,7.2,1.6,80.4,,,,
2/02/13,6:40:00 PM,189,24.1,369,7.19,1.5,79.9,,,,
2/02/13,6:50:00 PM,190,24.08,369,7.19,1.6,80.6,,,,
2/02/13,7:00:00 PM,191,24.03,369,7.19,1.5,80.8,,,,
2/02/13,7:10:00 PM,192,23.99,369,7.19,1.5,80.8,,,,
2/02/13,7:20:00 PM,193,23.97,370,7.19,1.5,80.5,,,,
2/02/13,7:30:00 PM,194,23.92,370,7.19,1.5,80.1,,,,
2/02/13,7:40:00 PM,195,23.89,370,7.19,1.4,79.9,,,,
2/02/13,7:50:00 PM,196,23.86,370,7.19,1.5,80.4,,,,
2/02/13,8:00:00 PM,197,23.83,370,7.19,1.5,80.2,,,,
2/02/13,8:10:00 PM,198,23.8,371,7.19,1.4,80.2,,,,
2/02/13,8:20:00 PM,199,23.76,371,7.19,1.5,79.7,,,,
2/02/13,8:30:00 PM,200,23.72,371,7.19,1.4,80,,,,
2/02/13,8:40:00 PM,201,23.68,371,7.19,1.7,80.2,,,,
2/02/13,8:50:00 PM,202,23.65,372,7.19,1.8,80.2,,,,
2/02/13,9:00:00 PM,203,23.62,372,7.2,1.5,78.6,,,,
2/02/13,9:10:00 PM,204,23.59,372,7.19,1.5,79.8,,,,
2/02/13,9:20:00 PM,205,23.56,372,7.19,1.5,79.5,,,,
2/02/13,9:30:00 PM,206,23.53,372,7.19,1.4,79.4,,,,
2/02/13,9:40:00 PM,207,23.48,373,7.19,1.5,79.6,,,,
2/02/13,9:50:00 PM,208,23.46,374,7.19,1.5,79.7,,,,
2/02/13,10:00:00 PM,209,23.42,374,7.18,1.4,79.1,,,,
2/02/13,10:10:00 PM,210,23.4,374,7.19,1.4,79.8,,,,
2/02/13,10:20:00 PM,211,23.37,374,7.19,1.5,79.2,,,,
2/02/13,10:30:00 PM,212,23.33,374,7.19,1.4,79.6,,,,
2/02/13,10:40:00 PM,213,23.3,375,7.19,1.4,78.9,,,,
2/02/13,10:50:00 PM,214,23.26,375,7.19,1.4,79.6,,,,
2/02/13,11:00:00 PM,215,23.25,375,7.19,1.3,79.2,,,,
2/02/13,11:10:00 PM,216,23.2,376,7.19,1.4,79.5,,,,
2/02/13,11:20:00 PM,217,23.17,376,7.19,1.5,79.3,,,,
2/02/13,11:30:00 PM,218,23.14,376,7.19,1.4,79.5,,,,
2/02/13,11:40:00 PM,219,23.1,376,7.19,1.5,79.7,,,,
2/02/13,11:50:00 PM,220,23.08,376,7.18,1.4,78.7,,,,
3/02/13,12:00:00 AM,221,23.05,376,7.19,1.4,79.4,,,,
3/02/13,12:10:00 AM,222,23.01,377,7.19,1.4,79.2,,,,
3/02/13,12:20:00 AM,223,22.98,377,7.18,1.3,79.5,,,,
3/02/13,12:30:00 AM,224,22.96,378,7.18,1.4,78.8,,,,
3/02/13,12:40:00 AM,225,22.92,379,7.18,1.4,79.2,,,,
3/02/13,12:50:00 AM,226,22.87,379,7.18,1.3,78.7,,,,
3/02/13,1:00:00 AM,227,22.86,379,7.18,1.3,79.2,,,,
3/02/13,1:10:00 AM,228,22.81,380,7.19,1.3,79.3,,,,
3/02/13,1:20:00 AM,229,22.78,379,7.19,1.3,78.8,,,,
3/02/13,1:30:00 AM,230,22.75,379,7.18,1.3,78.5,,,,
3/02/13,1:40:00 AM,231,22.71,381,7.18,1.3,78.5,,,,
3/02/13,1:50:00 AM,232,22.69,382,7.18,1.3,78.8,,,,
3/02/13,2:00:00 AM,233,22.66,382,7.18,1.3,78.6,,,,
3/02/13,2:10:00 AM,234,22.64,382,7.18,1.3,79.1,,,,
3/02/13,2:20:00 AM,235,22.61,383,7.18,1.5,79,,,,
3/02/13,2:30:00 AM,236,22.58,382,7.18,1.2,78.9,,,,
3/02/13,2:40:00 AM,237,22.56,382,7.19,1.3,78.9,,,,
3/02/13,2:50:00 AM,238,22.52,382,7.19,1.3,79.3,,,,
3/02/13,3:00:00 AM,239,22.49,384,7.18,1.2,78.8,,,,
3/02/13,3:10:00 AM,240,22.47,383,7.19,1.3,79.1,,,,
3/02/13,3:20:00 AM,241,22.44,384,7.19,1.3,78.9,,,,
3/02/13,3:30:00 AM,242,22.43,385,7.19,1.4,78.8,,,,
3/02/13,3:40:00 AM,243,22.4,384,7.18,1.2,78,,,,
3/02/13,3:50:00 AM,244,22.37,385,7.18,1.4,78.4,,,,
3/02/13,4:00:00 AM,245,22.35,385,7.18,1.3,78.6,,,,
3/02/13,4:10:00 AM,246,22.32,386,7.19,1.2,79.2,,,,
3/02/13,4:20:00 AM,247,22.31,385,7.18,1.3,79,,,,
3/02/13,4:30:00 AM,248,22.28,386,7.19,1.1,79.3,,,,
3/02/13,4:40:00 AM,249,22.27,386,7.18,1.3,78.6,,,,
3/02/13,4:50:00 AM,250,22.25,386,7.18,1.2,78.7,,,,
3/02/13,5:00:00 AM,251,22.23,387,7.19,1.3,78.8,,,,
3/02/13,5:10:00 AM,252,22.21,388,7.18,1.1,79,,,,
3/02/13,5:20:00 AM,253,22.18,389,7.19,1.3,79.1,,,,
3/02/13,5:30:00 AM,254,22.17,388,7.19,1.4,79,,,,
3/02/13,5:40:00 AM,255,22.14,387,7.19,1.1,78.5,,,,
3/02/13,5:50:00 AM,256,22.13,388,7.19,1,78.6,,,,
3/02/13,6:00:00 AM,257,22.1,389,7.19,1.4,78.5,,,,
3/02/13,6:10:00 AM,258,22.11,388,7.19,2.6,78.4,,,,
3/02/13,6:20:00 AM,259,22.08,388,7.19,3,78.4,,,,
3/02/13,6:30:00 AM,260,22.04,389,7.18,1,78.4,,,,
3/02/13,6:40:00 AM,261,22.02,390,7.19,0.9,78.5,,,,
3/02/13,6:50:00 AM,262,22.01,391,7.19,0.9,78.9,,,,
3/02/13,7:00:00 AM,263,22,391,7.19,1,79.1,,,,
3/02/13,7:10:00 AM,264,21.99,391,7.19,0.9,79.1,,,,
3/02/13,7:20:00 AM,265,21.99,391,7.18,0.9,78.8,,,,
3/02/13,7:30:00 AM,266,21.97,392,7.19,1,78.8,,,,
3/02/13,7:40:00 AM,267,21.96,392,7.19,0.9,78.8,,,,
3/02/13,7:50:00 AM,268,21.96,392,7.19,0.9,78.3,,,,
3/02/13,8:00:00 AM,269,21.96,392,7.19,0.9,78.6,,,,
3/02/13,8:10:00 AM,270,21.95,392,7.19,0.9,79,,,,
3/02/13,8:20:00 AM,271,21.95,392,7.19,0.8,78.9,,,,
3/02/13,8:30:00 AM,272,21.96,393,7.19,0.8,78.3,,,,
3/02/13,8:40:00 AM,273,21.97,393,7.19,0.8,79.7,,,,
3/02/13,8:50:00 AM,274,21.98,391,7.2,0.8,79.3,,,,
3/02/13,9:00:00 AM,275,21.98,394,7.19,0.7,79,,,,
3/02/13,9:10:00 AM,276,22.01,394,7.19,0.8,79.7,,,,
3/02/13,9:20:00 AM,277,22.02,395,7.19,0.6,79.7,,,,
3/02/13,9:30:00 AM,278,22.04,395,7.19,0.8,79,,,,
3/02/13,9:40:00 AM,279,22.08,394,7.19,0.7,78.7,,,,
3/02/13,9:50:00 AM,280,22.11,395,7.19,0.7,78.9,,,,
3/02/13,10:00:00 AM,281,22.16,396,7.19,0.7,80,,,,
3/02/13,10:10:00 AM,282,22.21,396,7.19,0.6,79.7,,,,
3/02/13,10:20:00 AM,283,22.32,396,7.2,0.6,80.7,,,,
3/02/13,10:30:00 AM,284,22.37,397,7.2,0.7,81.1,,,,
3/02/13,10:40:00 AM,285,22.44,397,7.21,0.7,81,,,,
3/02/13,10:50:00 AM,286,22.54,398,7.21,0.6,81.9,,,,
3/02/13,11:00:00 AM,287,22.61,398,7.21,0.7,81.6,,,,
3/02/13,11:10:00 AM,288,22.66,398,7.21,0.7,81.3,,,,
3/02/13,11:20:00 AM,289,22.72,399,7.21,0.6,81.5,,,,
3/02/13,11:30:00 AM,290,22.75,399,7.21,0.7,81.6,,,,
3/02/13,11:40:00 AM,291,22.79,400,7.21,0.6,81,,,,
3/02/13,11:50:00 AM,292,22.91,400,7.22,0.6,82.9,,,,
3/02/13,12:00:00 PM,293,22.93,400,7.21,0.5,81.4,,,,
3/02/13,12:10:00 PM,294,23,400,7.21,0.5,81.8,,,,
